Title,Author,State,District,Date of Challenge/Removal,Ban Status,Initiating Action
Say You're One of Them,"Akpan, Uwem",Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
Seven Deadly Shadows,"Alameda, Courtney",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Shutter,"Alameda, Courtney",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
The Hazel Wood: a novel,"Albert, Melissa",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Here's to Us,"Albertalli, Becky",Florida,Clay County School District,August 2023,Banned,Formal Challenge
Kate in Waiting,"Albertalli, Becky",Florida,Clay County School District,August 2023,Banned,Formal Challenge
Leah on the Offbeat,"Albertalli, Becky",Florida,Escambia County Public Schools,December 2023,Banned pending investigation,Administration
Simon vs. the Homo Sapiens Agenda,"Albertalli, Becky",Florida,Collier County Public Schools,August 2023,Banned,Formal Challenge
The Upside of Unrequited,"Albertalli, Becky",Florida,Collier County Public Schools,August 2023,Banned by restriction,Formal Challenge
What If It's Us,"Albertalli, Becky",Florida,Clay County School District,October 2023,Banned pending investigation,Formal Challenge
Yes No Maybe So,"Albertalli, Becky",Florida,Clay County School District,September 2023,Banned pending investigation,Formal Challenge
Altered,"Albin, Gennifer",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Crewel,"Albin, Gennifer",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Unraveled,"Albin, Gennifer",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Sofi Mendoza's Guide to Getting Lost in Mexico,"Alegría, Malín.",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
As Dead As It Gets,"Alender, Katie",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Bad Girls Don't Die,"Alender, Katie",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
From Bad to Cursed,"Alender, Katie",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Gift of the Unmage,"Alexander, Alma",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Catherine the Great: Life and Legend,"Alexander, John T.",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Flying Lessons and Other Stories,"Alexander, Kwame",Iowa,Clear Creek-Amana Community School District,June 2024,Banned pending investigation,Administration
"He Said, She Said","Alexander, Kwame",Florida,Collier County Public Schools,October 2023,Banned,Administration
Solo,"Alexander, Kwame",Florida,Escambia County Public Schools,August 2023,Banned by restriction,Administration
Swing,"Alexander, Kwame",Florida,Escambia County Public Schools,August 2023,Banned by restriction,Administration
Reservation Blues,"Alexie, Sherman",Florida,Lee County Schools,June 2024,Banned by restriction,Administration
The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",Florida,Charlotte County Public Schools,August 2023,Banned,Formal Challenge
Girls Like Us (2019),"Alger, Cristina",Iowa,Mid-Prairie Community School District,June 2024,Banned,Administration
The Gods and Goddesses of Olympus,Aliki,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Tales of Mystery and Imagination,"Allan, Tony",Iowa,South Central Calhoun Community School District,June 2024,Banned pending investigation,Administration
Titans and Olympians: Greek and Roman Myth,"Allan, Tony",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Triumph of the hero: Greek and Roman Myth,"Allan, Tony",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
The Line Tender,"Allen, Kate",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
17 First Kisses,"Allen, Rachael",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
A Taxonomy of Love,"Allen, Rachael",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Harley Quinn: Reckoning,"Allen, Rachael",Iowa,Clear Creek-Amana Community School District,June 2024,Banned pending investigation,Administration
In the Midst of Winter,"Allende, Isabel",Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
The House of the Spirits,"Allende, Isabel",Florida,Escambia County Public Schools,December 2023,Banned pending investigation,Administration
Zorro,"Allende, Isabel",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Hear These Voices: Youth at the Edge of the Millennium,"Allison, Anthony",Florida,Escambia County Public Schools,December 2023,Banned pending investigation,Administration
Bastard out of Carolina,"Allison, Dorothy",Maine,Hermon School Department,August 2023,Banned by restriction,Administration
Giant Days,"Allison, John",Texas,Conroe Independent School District,November 2023,Banned,Administration
Counting Stars,"Almond, David",Florida,Collier County Public Schools,October 2023,Banned pending investigation,Administration
The Tightrope Walkers,"Almond, David",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Counterfeit Son,"Alphin, Elaine Marie",Florida,Clay County School District,July 2023,Banned pending investigation,Formal Challenge
Canary,"Alpine, Rachele",Iowa,Clear Creek-Amana Community School District,June 2024,Banned pending investigation,Administration
Never Always Sometimes,"Alsaid, Adi",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Primal Waters,"Alten, Steve",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Resurrection,"Alten, Steve",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
The Loch,"Alten, Steve",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
How the Garcia Girls Lost Their Accents,"Alvarez, Julia",Florida,Clay County School District,June 2024,Banned,Formal Challenge
In the Time of the Butterflies,"Alvarez, Julia",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Because You Love to Hate Me: 13 Tales of Villainy,Ameriie,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
The Usborne first thousand words in Spanish : with easy pronunciation guide,"Amery, Heather",Texas,North East Independent School District,June 2024,Banned,Administration
Zahra's Paradise,Amir,Florida,Escambia County Public Schools,December 2023,Banned pending investigation,Administration
