Title,Author,State,District,Date of Challenge/Removal,Ban Status,Initiating Action
The Queen of Nothing,"Black, Holly",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
The Stolen Heir,"Black, Holly",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
The Wicked King,"Black, Holly",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Tithe,"Black, Holly",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Valiant,"Black, Holly",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
White Cat,"Black, Holly",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Boy2Girl,"Blacker, Terence",Florida,Clay County School District,September 2023,Banned by restriction,Formal Challenge
Noughts and Crosses,"Blackman, Malorie",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Girl Made of Stars,"Blake, Ashley Herring",Florida,Clay County School District,September 2023,Banned,Formal Challenge
How to Make a Wish,"Blake, Ashley Herring",Iowa,Clear Creek-Amana Community School District,June 2024,Banned pending investigation,Administration
Ivy Aberdeen's Letter to the World,"Blake, Ashley Herring",Iowa,Clear Creek-Amana Community School District,June 2024,Banned pending investigation,Administration
La carta de Ivy Aberdeen al mundo/Ivy Aberdeen's Letter to the World,"Blake, Ashley Herring",Florida,Clay County School District,December 2023,Banned by restriction,Formal Challenge
The Mighty Heart of Sunny St. James,"Blake, Ashley Herring",Florida,Clay County School District,September 2023,Banned pending investigation,Formal Challenge
Night Blood,"Blake, Elly",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Antisocial,"Blake, Jillian",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Five Dark Fates,"Blake, Kendare",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
One Dark Throne,"Blake, Kendare",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Queens of Fennbirn,"Blake, Kendare",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Three Dark Crowns,"Blake, Kendare",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Two Dark Reigns,"Blake, Kendare",Florida,Clay County School District,February 2024,Banned pending investigation,Formal Challenge
Pretty Lies: A Contemporary YA Romance,"Blessing, Blake",Iowa,Nevada Community School District,October 2023,Banned pending investigation,Administration
Ugly Truths,"Blessing, Blake",Iowa,Nevada Community School District,October 2023,Banned pending investigation,Administration
Echo,"Block, Francesca Lia",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Goat Girls: Two Weetzie Bat Books,"Block, Francesca Lia",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
I Was a Teenage Fairy,"Block, Francesca Lia",Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
Necklace of Kisses,"Block, Francesca Lia",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Pretty Dead,"Block, Francesca Lia",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Psyche in a Dress,"Block, Francesca Lia",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Teen Spirit,"Block, Francesca Lia",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
The Rose and The Beast: Fairy Tales Retold,"Block, Francesca Lia",Florida,Collier County Public Schools,October 2023,Banned,Administration
Weetzie Bat,"Block, Francesca Lia",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Khaled Hosseini's The Kite Runner,"Bloom, Harold",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Tangerine,"Bloor, Edward",Texas,North East Independent School District,June 2024,Banned,Administration
Sex on the Brain: The Biological Differences Between Men and Women,"Blum, Deborah",Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
Those Who Save Us,"Blum, Jenna",Florida,Collier County Public Schools,October 2023,Banned,Administration
"Are You There God? It's Me, Margaret","Blume, Judy",Iowa,Eddyville-Blakesburg-Fremont Community School District,June 2024,Banned,Administration
Forever...,"Blume, Judy",Alaska,Matanuska-Susitna Borough School District,September 2023,Banned pending investigation,Formal Challenge
Summer Sisters,"Blume, Judy",Florida,Collier County Public Schools,October 2023,Banned,Administration
"Then Again, Maybe I Won't","Blume, Judy",Florida,Clay County School District,October 2023,Banned pending investigation,Formal Challenge
Tiger Eyes,"Blume, Judy",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Let Me Play: The Story of Title IX: The Law That Changed the Future of Girls in America,"Blumenthal, Karen",Florida,Clay County School District,August 2023,Banned pending investigation,Formal Challenge
Strings Attached,"Blundell, Judy",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
What I Saw and How I Lied,"Blundell, Judy",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Revenge of a Not-So-Pretty Girl,"Blythe, Carolita",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
The Voices of Rape,"Bode, Janet",Iowa,South Tama County Community School District,December 2023,Banned,Administration
An Assassin's Guide to Love and Treason,"Boecker, Virginia",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Midwives,"Bohjalian, Chris",Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration
Inventing Victoria,"Bolden, Tonya",Florida,Escambia County Public Schools,August 2023,Banned by restriction,Administration
Portraits of African-American Heroes,"Bolden,Tonya",Florida,St. John's County School District,July 2023,Banned by restriction,Administration
Ripley's Believe it or Not! 100 Years,"Bolin, Carrie",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Ripley's Believe It Or Not! A Century of Strange!,"Bolin, Carrie",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
"The Whistleblower: Sex Trafficking, Military Contractors, and One Woman's Fight for Justice","Bolkovac, Kathryn",Florida,Lee County Schools,June 2024,Banned by restriction,Administration
Bound by Honor: A Mafioso's Story,"Bonanno, Bill",Florida,Lee County Schools,June 2024,Banned by restriction,Administration
A Quick and Easy Guide to They/Them Pronouns,"Bongiovanni, Archie",Wisconsin,Elkhorn Area School District,November 2023,Banned pending investigation,"Informal Challenge, Administration"
Darkthaw,"Boorman, Kate A.",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Winterkill,"Boorman, Kate A.",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Achilles,"Boose, Greg",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Bronxwood,"Booth, Coe",Florida,Collier County Public Schools,October 2023,Banned,Administration
Caprice,"Booth, Coe",Iowa,Nevada Community School District,October 2023,Banned pending investigation,Administration
Kendra,"Booth, Coe",Florida,Collier County Public Schools,October 2023,Banned,Administration
Tyrell,"Booth, Coe",Florida,Collier County Public Schools,October 2023,Banned,Administration
The Need to Know Library: Everything You Need to Know About Sexual Harassment,"Bouchard, Elizabeth",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Firekeeper's Daughter,"Boulley, Angeline",Florida,Collier County Public Schools,October 2023,Banned,Administration
The Scorpion Rules,"Bow, Erin",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Insignificant Events In The Life Of A Cactus,"Bowling, Dusti",Florida,Clay County School District,June 2024,Banned pending investigation,Formal Challenge
Starfish (ADB),"Bowman, Akemi Dawn",Florida,Escambia County Public Schools,August 2023,Banned by restriction,Administration
She’s Not There: A Life in Two Genders,"Boylan, Jennifer Finney",Texas,Conroe Independent School District,October 2023,Banned,Informal Challenge
The Best American Short Stories 2015,"Boyle, T.C.",Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
The Road to Wellville,"Boyle, T.C.",Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
The Darkest Minds,"Bracken, Alexandra",Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
The Martian Chronicles,"Bradbury, Ray",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Flight of the Puffin,"Braden, Ann",Iowa,Clear Creek-Amana Community School District,June 2024,Banned pending investigation,Administration
The Benefits of Being an Octopus,"Braden, Ann",Florida,Clay County School District,January 2024,Banned by restriction,Formal Challenge
Emma's Secret,"Bradford, Barbara Taylor",Florida,Lee County Schools,June 2024,Banned by restriction,Administration
Cleopatra,"Bradford, Ernle Dusgate Selby",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
The Dark Garden,"Bradley, Eden",Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
Fighting Words,"Bradley, Kimberly Brubaker",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
The War that Saved My Life,"Bradley, Kimberly Brubaker",Iowa,Clear Creek-Amana Community School District,June 2024,Banned pending investigation,Administration
The Mists of Avalon,"Bradley, Marion Zimmer",Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration
When the Rainbow Goddess Wept,"Brainard, Cecilia Manguerra",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Fat Cat,"Brande, Robin",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Murder in Mayberry: Death and Mayhem in a Small Town,"Branson, Mary Kinney",Maine,Hermon School Department,August 2023,Banned by restriction,Administration
Zenn Diagram,"Brant, Wendy",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Forever in Blue: The Fourth Summer of the Sisterhood,"Brashares, Ann",Florida,Lee County Schools,June 2024,Banned by restriction,Administration
Girls In Pants: The Third Summer Of The Sisterhood,"Brashares, Ann",Florida,Lee County Schools,June 2024,Banned by restriction,Administration
Sisterhood of the Traveling Pants,"Brashares, Ann",Florida,Escambia County Public Schools,August 2023,Banned by restriction,Administration
The Here and Now,"Brashares, Ann",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
The Last Summer (of You and Me),"Brashares, Ann",Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
The Second Summer Of The Sisterhood,"Brashares, Ann",Florida,Lee County Schools,June 2024,Banned by restriction,Administration
Whole Thing Together,"Brashares, Ann",Iowa,Nevada Community School District,October 2023,Banned pending investigation,Administration
As Old as Time: A Twisted Tail,"Braswell, Liz",Florida,Clay County School District,September 2023,Banned by restriction,Formal Challenge
Taking Action for Civil and Political Rights,"Braun, Eric",Iowa,Clear Creek-Amana Community School District,June 2024,Banned pending investigation,Administration
A Great and Terrible Beauty,"Bray, Libba",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Beauty Queens,"Bray, Libba",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Formal Challenge
Before the Devil Breaks You,"Bray, Libba",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Lair of Dreams,"Bray, Libba",Florida,Clay County School District,May 2024,Banned by restriction,Formal Challenge
Rebel Angels,"Bray, Libba",Florida,Escambia County Public Schools,August 2023,Banned by restriction,Administration
The Diviners,"Bray, Libba",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
The King of Crows,"Bray, Libba",Iowa,Sioux Center Community School District,June 2024,Banned,Administration
The Sweet Far Thing,"Bray, Libba",Florida,Escambia County Public Schools,August 2023,Banned by restriction,Administration
Chlamydia,"Breguet, Amy",Iowa,Alta-Aurelia Community Schools,October 2023,Banned pending investigation,Administration
Electric Girl,"Brennan, Michael",Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
In Other Lands,"Brennan, Sarah Rees",Florida,Escambia County Public Schools,August 2023,Banned by restriction,Administration
The Demon's Surrender,"Brennan, Sarah Rees",Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
Chaucer and His World,"Brewer, Derek",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Monkey Man,"Brewer, Steve",Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
Into the Real,"Brewer, Z",Georgia,Cobb County School District,August 2023,Banned pending investigation,Administration
The Absolute Value of -1,"Brezenoff, Steven",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
You and Me at the End of the World,Brianna Bourne,Iowa,Nevada Community School District,October 2023,Banned pending investigation,Administration
Sara Will,"Bridgers, Sue Ellen",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Dreaming of Antigone,"Bridges, Robin",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Through My Eyes,"Bridges, Ruby",Florida,St. John's County School District,July 2023,Banned by restriction,Administration
The Rule of Claw,"Brindley, John",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Caddie Woodlawn,"Brink, Carol Ryrie",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Nicki Minaj: Conquering Hip Hop,"Britton, Felicity",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
The Game of Love and Death,"Brockenbrough, Martha",Texas,North East Independent School District,June 2024,Banned,Administration
Over the Edge,"Brockmann, Suzanne",Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration
One Trick Pony,"Brodsky, Daniella",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Dive Smack,"Brodsky, Demetra",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Boys of Summer,"Brody, Jessica",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
A Queer History of the United States,"Bronski, Michael",Iowa,Alta-Aurelia Community Schools,October 2023,Banned pending investigation,Administration
Wuthering Heights,"Bronte, Emily",Florida,Escambia County Public Schools,August 2023,Banned by restriction,Administration
Year of Wonders: A Novel of the Plague,"Brooks, Geraldine",Wisconsin,Elkhorn Area School District,November 2023,Banned by restriction,"Informal Challenge, Administration"
Black Rabbit Summer,"Brooks, Kevin",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Candy,"Brooks, Kevin",Florida,Collier County Public Schools,October 2023,Banned,Administration
Lucas,"Brooks, Kevin",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
The Bunker Diary,"Brooks, Kevin",Wisconsin,Elkhorn Area School District,November 2023,Banned pending investigation,"Informal Challenge, Administration"
World War Z: An Oral History of the Zombie War,"Brooks, Max",Florida,Clay County School District,October 2023,Banned by restriction,Formal Challenge
Anya's Ghost,"Brosgol, Vera",Florida,Clay County School District,July 2023,Banned pending investigation,Formal Challenge
Angels and Demons,"Brown, Dan",Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration
The Lost Symbol,"Brown, Dan",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Black Girl Unlimited: The Remarkable Story of a Teenage Wizard,"Brown, Echo",Florida,Clay County School District,August 2023,Banned,Formal Challenge
All That's Left in the World,"Brown, Erik J.",Kentucky,Boyle County Schools,October 2023,Banned,Administration
The Bridges of Madison County (Musical Score),"Brown, Jason Robert",Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
Georgia Peaches and Other Forbidden Fruit,"Brown, Jaye Robin",Florida,Polk County Public Schools,June 2024,Banned pending investigation,Formal Challenge
The Meaning of Birds,"Brown, Jaye Robin",Florida,Clay County School District,June 2024,Banned,Formal Challenge
Thousand Words,"Brown, Jennifer",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Arthur's Birthday,"Brown, Marc",Florida,Clay County School District,July 2023,Banned pending investigation,Formal Challenge
Fred Gets Dressed,"Brown, Peter",Kentucky,Boyle County Schools,October 2023,Banned,Administration
Red Rising,"Brown, Pierce",Florida,Clay County School District,October 2023,Banned by restriction,Formal Challenge
A Secret Splendor,"Brown, Sandra",Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
Above and Beyond,"Brown, Sandra",Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
In a Class by Itself,"Brown, Sandra",Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
Lethal,"Brown, Sandra",Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration
Seduction by Design,"Brown, Sandra",Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
Send No Flowers,"Brown, Sandra",Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
The Crush,"Brown, Sandra",Iowa,Clear Lake Community School District,June 2024,Banned,Administration
Unspeakable,"Brown, Sandra",Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
White Hot,"Brown, Sandra",Iowa,Clear Lake Community School District,June 2024,Banned,Administration
XL,"Brown, Scott",Florida,Escambia County Public Schools,August 2023,Banned by restriction,Administration
Frequently Asked Questions About Same-Sex Marriage and When A Parent is Gay,"Brown, Tracy",Iowa,Norwalk Community School District,October 2023,Banned pending investigation,Administration
Chlorine Sky,"Browne, Mahogany L.",Texas,North East Independent School District,June 2024,Banned,Administration
Woke: A Young Poets Call to Justice,"Browne, Mahogany L.",Massachusetts,North Attleborough Public Schools,January 2024,Banned by restriction,Formal Challenge
Kill or be Killed,"Brubaker, Ed",Iowa,Linn-Mar Community School District,June 2024,Banned pending investigation,Administration
Two Roads,"Bruchac, Joseph",Florida,Clay County School District,March 2024,Banned pending investigation,Formal Challenge
A Bad Kitty Christmas,"Bruel, Nick",Florida,Clay County School District,September 2023,Banned pending investigation,Formal Challenge
"101 Questions About Sex and Sexuality: With Answers for the Curious, Cautious, and Confused","Brynie, Faith Hickman",Iowa,Clear Lake Community School District,June 2024,Banned,Administration
The Body: A Guide for Occupants,"Bryson, Bill",Maine,Hermon School Department,August 2023,Banned by restriction,Administration
Beyond the Break,"Buchta, Heather",Florida,Clay County School District,March 2024,Banned pending investigation,Formal Challenge
Undertow,"Buckley, Michael",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Helter Skelter: The True Story of the Manson Murders,"Bugliosi, Vincent",Maine,Hermon School Department,August 2023,Banned by restriction,Administration
100 Bible Stories,"Bull, Norman J.",Florida,Escambia County Public Schools,August 2023,Banned,Administration
Different Can Be Great: All Kinds of Families,"Bullard, Lisa",Florida,St. John's County School District,July 2023,Banned by restriction,Administration
Diseases,"Bunch, Bryan",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Felix Yz,"Bunker, Lisa",Iowa,Clear Creek-Amana Community School District,June 2024,Banned pending investigation,Administration
Zenobia July,"Bunker, Lisa",Florida,St. John's County School District,July 2023,Banned by restriction,Administration
Laughing at My Nightmare,"Burcaw, Shane",Iowa,Grundy Center Community School District,June 2024,Banned,Administration
The Manny Files,"Burch, Christian",Texas,North East Independent School District,June 2024,Banned,Administration
Bangkok 8,"Burdett, John",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
The Curse of King Tut's Tomb,"Burgan, Michael",South Carolina,Lexington-Richland School District 5,January 2024,Banned pending investigation,Formal Challenge
Clockwork Orange,"Burgess, Anthony",Florida,Alachua County Public Schools,April 2024,Banned pending investigation,Formal Challenge
Drawing on Walls: A Story of Keith Haring,"Burgess, Matthew",Iowa,Clear Creek-Amana Community School District,June 2024,Banned pending investigation,Administration
Doing It,"Burgess, Melvin",Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration
Nicholas Dane,"Burgess, Melvin",Iowa,Shenandoah Community School District,June 2024,Banned,Administration
Smack,"Burgess, Melvin",Florida,Clay County School District,February 2024,Banned pending investigation,Formal Challenge
The Hit,"Burgess, Melvin",Florida,Clay County School District,June 2024,Banned,Formal Challenge
Heaven's Prisoners,"Burke, James Lee",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Swan Peak,"Burke, James Lee",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
The Neon Rain,"Burke, James Lee",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Unplanned Pregnancies,"Burling, Alexis",Kentucky,Boyle County Schools,October 2023,Banned,Administration
Tree,"Burnie, David",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Sanctuary Bay,"Burns, Laura J.",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Cold Sassy Tree,"Burns, Olive Ann",Wisconsin,Elkhorn Area School District,November 2023,Banned pending investigation,"Informal Challenge, Administration"
The Glister,"Burnside, John",Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration
Dry,"Burroughs, Augusten",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Running with Scissors: A Memoir,"Burroughs, Augusten",Florida,Escambia County Public Schools,December 2023,Banned pending investigation,Administration
Summer and the City,"Bushnell, Candace",Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
The Carrie Diaries,"Bushnell, Candace",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Cursor's Fury,"Butcher, Jim",Florida,Santa Rosa County Schools,February 2024,Banned,Formal Challenge
Grave Peril,"Butcher, Jim",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Girls Like Me (KB),"Butcher, Kristin",Texas,North East Independent School District,June 2024,Banned,Administration
The Trouble With Liberty,"Butcher, Kristin",Florida,Lee County Schools,June 2024,Banned by restriction,Administration
Bloodchild and Other Stories,"Butler, Octavia E.",Iowa,West Des Moines Community Schools,June 2024,Banned pending investigation,Administration
Kindred,"Butler, Octavia E.",Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
Kindred: A Graphic Novel Adaptation,"Butler, Octavia E.",Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
Speech Sounds,"Butler, Octavia E.",Iowa,West Des Moines Community Schools,October 2023,Banned pending investigation,Administration
Tell Me Three Things,"Buxbaum, Julie",Florida,Escambia County Public Schools,August 2023,Banned by restriction,Administration
Sexually Transmitted Diseases: A Hot Issue,"Byers, Ann",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Teens and Pregnancy: A Hot Issue,"Byers, Ann",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Abandon,"Cabot, Meg",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Airhead,"Cabot, Meg",Florida,Escambia County Public Schools,August 2023,Banned by restriction,Administration
All-American Girl,"Cabot, Meg",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Avalon High,"Cabot, Meg",Florida,Escambia County Public Schools,August 2023,Banned by restriction,Administration
Being Nikki,"Cabot, Meg",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
How to Be Popular,"Cabot, Meg",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Insatiable,"Cabot, Meg",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Jinx,"Cabot, Meg",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Princess in Love,"Cabot, Meg",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Princess in the Spotlight,"Cabot, Meg",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Princess in Training,"Cabot, Meg",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Princess on the Brink,"Cabot, Meg",Florida,School District of Palm Beach County,March 2024,Banned pending investigation,Formal Challenge
Queen of Babble,"Cabot, Meg",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Ready or Not,"Cabot, Meg",Florida,Seminole County Public Schools,April 2024,Banned by restriction,Administration
Size 12 Is Not Fat,"Cabot, Meg",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Teen Idol,"Cabot, Meg",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
The Princess Diaries,"Cabot, Meg",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
The Princess Present: A Princess Diaries Book,"Cabot, Meg",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Victoria and the Rogue,"Cabot, Meg",Texas,Fort Worth Independent School District,August 2023,Banned pending investigation,Administration
The Boy Next Door,"Cabot, Meggin",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Piper Perish,"Cagan, Kayla",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Swim the Fly,"Calame, Don",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
The Rule of Four,"Caldwell, Ian",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
A Phoenix First Must Burn,"Caldwell, Patrice",Florida,Lee County Schools,June 2024,Banned by restriction,Administration
100 Women Who Made History: Remarkable Women Who Shaped Our World,"Caldwell, S. A.",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
A Heart in a Body in the World,"Caletti, Deb",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
"Girl, Unframed","Caletti, Deb",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
"Honey, Baby, Sweetheart","Caletti, Deb",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
One Great Lie,"Caletti, Deb",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Stay,"Caletti, Deb",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
The Epic Story of Every Living Thing,"Caletti, Deb",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
The Fortunes of Indigo Skye,"Caletti, Deb",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
The Last Forever,"Caletti, Deb",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
The Nature of Jade,"Caletti, Deb",Florida,Escambia County Public Schools,August 2023,Banned by restriction,Administration
The Queen of Everything,"Caletti, Deb",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
The Secret Life of Prince Charming,"Caletti, Deb",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
The Six Rules of Maybe,"Caletti, Deb",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
The Story of Us,"Caletti, Deb",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Felix Ever After,"Callender, Kacen",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Hurricane Child,"Callender, Kacen",Iowa,Clear Creek-Amana Community School District,June 2024,Banned pending investigation,Administration
King and the Dragonflies,"Callender, Kacen",Florida,St. John's County School District,July 2023,Banned by restriction,Administration
Lark and Kasim Start a Revolution,"Callender, Kacen",Georgia,Cobb County School District,August 2023,Banned pending investigation,Administration
This Is Kind of an Epic Love Story,"Callender, Kacen",Florida,Escambia County Public Schools,February 2024,Banned pending investigation,Formal Challenge
Someday This Pain Will Be Useful to You,"Cameron, Peter",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
The Forgetting,"Cameron, Sharon",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
The Knowing,"Cameron, Sharon",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
It's Always the Husband,"Campbell, Michele",Florida,Lee County Schools,June 2024,Banned by restriction,Administration
The Stranger: The Graphic Novel,"Camus, Albert",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Echo After Echo,"Capetta, A. R.",Florida,Collier County Public Schools,September 2023,Banned by restriction,Formal Challenge
Once and Future,"Capetta, A. R.",Florida,Clay County School District,March 2024,Banned,Formal Challenge
The Brilliant Death,"Capetta, A. R.",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Foul is Fair,"Capin, Hannah",Florida,Escambia County Public Schools,December 2023,Banned pending investigation,Administration
I Am Margaret Moore,"Capin, Hannah",Texas,Conroe Independent School District,November 2023,Banned,Informal Challenge
El Gigante Solitario,"Cappellini, Mary",Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration
Gears of War,"Capps, Michael",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
"10,000 Days of Thunder: A History of the Vietnam War","Caputo, Phillip",Iowa,Adel DeSoto Minburn Community School District,June 2024,Banned,Administration
Ender's Game,"Card, Orson Scott",Florida,Collier County Public Schools,October 2023,Banned,Administration
Ender's Shadow,"Card, Orson Scott",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Pastwatch: The Redemption of Christopher Columbus,"Card, Orson Scott",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
